City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
85,Grindavik,IS,50.47,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
88,Atuona,PF,76.98,few clouds,-9.8,-139.0333,Villa Enata
89,Peleduy,RU,56.98,overcast clouds,59.6289,112.7406,Гостиница «Уют»
90,Trinidad,BO,73.38,clear sky,-14.8333,-64.9,Hotel Piesta
91,Margate,GB,70.9,few clouds,51.3813,1.3862,Premier Inn Margate hotel
92,Yulara,AU,52.7,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
93,Richards Bay,ZA,69.53,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
94,Longyearbyen,SJ,46.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
95,Charters Towers,AU,69.8,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
96,Sakit,IN,82.81,clear sky,27.45,78.8167,Laucky house
97,Kalaleh,IR,78.75,clear sky,37.3807,55.4916,کلاله
98,Sinjar,IQ,82.38,clear sky,36.3209,41.8754,زوماني فون 1
99,Butaritari,KI,82.04,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
100,Sorland,NO,51.66,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
101,Auki,SB,82.72,overcast clouds,-8.7676,160.7034,Auki Motel
102,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
103,East London,ZA,63.5,broken clouds,-33.0153,27.9116,Tu Casa
104,Pacific Grove,US,86.54,clear sky,36.6177,-121.9166,Lovers Point Inn
105,Manacapuru,BR,82.69,scattered clouds,-3.2997,-60.6206,Novo Hotel
106,Pingzhuang,CN,73.65,overcast clouds,42.0372,119.2889,Haoke Guest House
107,Conde,BR,74.66,clear sky,-7.2597,-34.9075,Pousada Beija Flor
108,Bluff,NZ,44.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
109,Yantongshan,CN,70.56,clear sky,43.2919,126.0094,Home Inn Hotel
111,Russell,US,83.8,clear sky,32.3502,-85.1999,Macs
112,Broome,US,75.69,clear sky,42.2506,-75.833,Chenango Valley State Park
114,Hobart,AU,50.25,light rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
115,Cine,TR,73.78,clear sky,37.6117,28.0614,Otel Alabanda
116,Zonguldak,TR,60.75,scattered clouds,41.25,31.8333,Yazioren Koyu Muhtarligi
117,Dubbo,AU,51.93,light rain,-32.25,148.6167,Quality Inn Dubbo International
119,Okha,RU,61.09,broken clouds,53.5739,142.9478,Sakhalin-Sfera
120,Fort Nelson,CA,60.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
122,Ribeira Grande,PT,74.75,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
123,Marawi,PH,72.18,overcast clouds,7.9986,124.2928,Derogongan Residence
124,Husavik,IS,48.54,broken clouds,66.0449,-17.3389,Bjarnabúð
126,Lebu,CL,48.83,broken clouds,-37.6167,-73.65,Hostal Las Lilas
127,Namibe,AO,60.35,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
128,Kalmunai,LK,78.21,overcast clouds,7.4167,81.8167,VS Villa
129,Hameenlinna,FI,57.16,scattered clouds,60.996,24.4643,"Original Sokos Hotel Vaakuna, Hämeenlinna"
131,Luanda,AO,65.97,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
132,Florianopolis,BR,60.03,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
133,Souillac,MU,66.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
134,Hofn,IS,51.22,broken clouds,64.2539,-15.2082,Hótel Höfn
135,Codrington,AU,47.75,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
136,Rossland,CA,79.99,few clouds,49.0831,-117.8022,Prestige Mountain Resort Rossland
137,Esperance,AU,54.14,overcast clouds,-33.8667,121.9,Hospitality Esperance
138,Abay,KZ,55.78,scattered clouds,49.6311,72.8539,Guest House on Abaya 144
139,Khuzhir,RU,55.76,clear sky,53.1939,107.3397,Отель на озере Байкал Baikal View
140,Ponta Do Sol,PT,70.72,broken clouds,32.6667,-17.1,Hotel do Campo
141,Coahuayana,MX,81.66,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
142,Smithers,CA,86.32,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
144,Guerrero Negro,MX,78.84,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
145,Bemidji,US,75.38,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
146,Ahipara,NZ,55.62,few clouds,-35.1667,173.1667,Ahipara Holiday Park
147,Mabay,PH,82.18,scattered clouds,6.0577,124.4666,Bautista Lodging House
148,Bredasdorp,ZA,52.32,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
149,Tezu,IN,79.45,broken clouds,27.9167,96.1667,Circuit House
150,Menongue,AO,53.87,clear sky,-14.6585,17.691,Ritz Lauca
151,Lagoa,PT,73.02,light rain,39.05,-27.9833,Casa Das Faias
152,Kozhva,RU,54.3,light rain,65.1073,57.0459,Gostinicha IP Kayuda Olga Aleksandrovna
153,Mansa,IN,78.55,overcast clouds,29.9833,75.3833,STARiHOTEL Mansa
154,Filadelfia,US,89.1,clear sky,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
155,Sorong,ID,79.2,broken clouds,-0.8833,131.25,Waigo Splash Hotel
156,Nadym,RU,57.2,overcast clouds,65.5333,72.5167,Apartment on Zvereva
157,Port Hedland,AU,64.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
158,Taft,IR,75.15,clear sky,31.7471,54.2088,عمارت ساعتی تفت
159,Porto Novo,BJ,75.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
160,Pevek,RU,36.48,overcast clouds,69.7008,170.3133,Severnoye Zoloto
161,Khatanga,RU,47.98,overcast clouds,71.9667,102.5,"""Khatanga"""
163,Hasaki,JP,86.4,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
165,Kapaa,US,85.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
166,Largo,US,86.95,clear sky,27.9095,-82.7873,Hampton Inn & Suites Largo
167,Nantucket,US,71.74,overcast clouds,41.2835,-70.0995,Jared Coffin House
168,Mbandaka,CD,72.55,broken clouds,0.0487,18.2603,Guest House Epervier
169,Lumberton,US,88.11,overcast clouds,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
171,Siilinjarvi,FI,60.82,clear sky,63.0833,27.6667,Hotelli Sandels Oy
172,Mlonggo,ID,80.4,broken clouds,-6.5333,110.7,Asia Metal Art
